"costs";"clicks";"visits";"sql_date";"strategy_id"
0.0000;0;0;"2017-02-20";752
0.0000;0;0;"2017-02-20";751
0.0000;0;0;"2017-02-20";744
0.0000;0;0;"2017-02-20";260
0.0000;0;0;"2017-02-20";210
0.0000;0;0;"2017-02-20";-5
91.4886;0;0;"2017-02-20";-6
0.0000;0;0;"2017-02-20";-7
0.0000;0;0;"2017-02-19";8398
0.0000;0;0;"2017-02-19";8005
0.0000;0;0;"2017-02-19";7487
125.9643;0;0;"2017-02-19";6957
0.0000;0;0;"2017-02-19";6945
0.0000;0;0;"2017-02-19";6944
143.1000;0;0;"2017-02-19";6788
0.0000;0;0;"2017-02-19";6734
424.7971;0;0;"2017-02-19";6718
108.2143;0;0;"2017-02-19";6579
0.0000;0;0;"2017-02-19";6413
0.0000;0;0;"2017-02-19";6412
0.0000;0;0;"2017-02-19";6411
0.0000;0;0;"2017-02-19";6317
0.0000;0;0;"2017-02-19";6316
0.0000;0;0;"2017-02-19";6315
0.0000;0;0;"2017-02-19";6314
0.0000;0;0;"2017-02-19";6313
0.0000;0;0;"2017-02-19";6312
0.0000;0;0;"2017-02-19";6311
0.0000;0;0;"2017-02-19";6308
0.0000;0;0;"2017-02-19";5687
0.0000;0;0;"2017-02-19";4307
0.0000;0;0;"2017-02-19";3568
0.0000;0;0;"2017-02-19";3566
0.0000;0;0;"2017-02-19";3565
0.0000;0;0;"2017-02-19";2902
0.0000;0;0;"2017-02-19";2766
0.0000;0;0;"2017-02-19";2763
0.0000;0;0;"2017-02-19";2561
0.0000;0;0;"2017-02-19";2560
0.0000;0;0;"2017-02-19";2559
0.0000;0;0;"2017-02-19";2233
0.0000;0;0;"2017-02-19";2231
0.0000;0;0;"2017-02-19";752
0.0000;0;0;"2017-02-19";751
0.0000;0;0;"2017-02-19";744
0.0000;0;0;"2017-02-19";260
0.0000;0;0;"2017-02-19";210
0.0000;0;0;"2017-02-19";-5
91.4886;0;0;"2017-02-19";-6
0.0000;0;0;"2017-02-19";-7
0.0000;0;0;"2017-02-18";8398
0.0000;0;0;"2017-02-18";8005
0.0000;0;0;"2017-02-18";7487
125.9643;0;0;"2017-02-18";6957
0.0000;0;0;"2017-02-18";6945
0.0000;0;0;"2017-02-18";6944
143.1000;0;0;"2017-02-18";6788
0.0000;0;0;"2017-02-18";6734
424.7971;0;0;"2017-02-18";6718
108.2143;0;0;"2017-02-18";6579
0.0000;0;0;"2017-02-18";6413
0.0000;0;0;"2017-02-18";6412
0.0000;0;0;"2017-02-18";6411
0.0000;0;0;"2017-02-18";6317
0.0000;0;0;"2017-02-18";6316
0.0000;0;0;"2017-02-18";6315
0.0000;0;0;"2017-02-18";6314
0.0000;0;0;"2017-02-18";6313
0.0000;0;0;"2017-02-18";6312
0.0000;0;0;"2017-02-18";6311
0.0000;0;0;"2017-02-18";6308
0.0000;0;0;"2017-02-18";5687
0.0000;0;0;"2017-02-18";4307
0.0000;0;0;"2017-02-18";3568
0.0000;0;0;"2017-02-18";3566
0.0000;0;0;"2017-02-18";3565
0.0000;0;0;"2017-02-18";2902
0.0000;0;0;"2017-02-18";2766
0.0000;0;0;"2017-02-18";2763
0.0000;0;0;"2017-02-18";2561
0.0000;0;0;"2017-02-18";2560
0.0000;0;0;"2017-02-18";2559
0.0000;0;0;"2017-02-18";2233
0.0000;0;0;"2017-02-18";2231
0.0000;0;0;"2017-02-18";752
0.0000;0;0;"2017-02-18";751
0.0000;0;0;"2017-02-18";744
0.0000;0;0;"2017-02-18";260
0.0000;0;0;"2017-02-18";210
0.0000;0;0;"2017-02-18";-5
91.4886;0;0;"2017-02-18";-6
0.0000;0;0;"2017-02-18";-7
0.0000;0;0;"2017-02-17";8398
0.0000;0;0;"2017-02-17";8005
0.0000;0;0;"2017-02-17";7487
125.9643;0;0;"2017-02-17";6957
0.0000;0;0;"2017-02-17";6945
0.0000;0;0;"2017-02-17";6944
143.1000;0;0;"2017-02-17";6788
0.0000;0;0;"2017-02-17";6734
424.7971;0;0;"2017-02-17";6718
108.2143;0;0;"2017-02-17";6579
0.0000;0;0;"2017-02-17";6413
0.0000;0;0;"2017-02-17";6412
0.0000;0;0;"2017-02-17";6411
0.0000;0;0;"2017-02-17";6317
0.0000;0;0;"2017-02-17";6316
0.0000;0;0;"2017-02-17";6315
0.0000;0;0;"2017-02-17";6314
0.0000;0;0;"2017-02-17";6313
0.0000;0;0;"2017-02-17";6312
0.0000;0;0;"2017-02-17";6311
0.0000;0;0;"2017-02-17";6308
0.0000;0;0;"2017-02-17";5687
0.0000;0;0;"2017-02-17";4307
0.0000;0;0;"2017-02-17";3568
0.0000;0;0;"2017-02-17";3566
0.0000;0;0;"2017-02-17";3565
0.0000;0;0;"2017-02-17";2902
0.0000;0;0;"2017-02-17";2766
0.0000;0;0;"2017-02-17";2763
0.0000;0;0;"2017-02-17";2561
0.0000;0;0;"2017-02-17";2560
0.0000;0;0;"2017-02-17";2559
0.0000;0;0;"2017-02-17";2233
0.0000;0;0;"2017-02-17";2231
0.0000;0;0;"2017-02-17";752
0.0000;0;0;"2017-02-17";751
0.0000;0;0;"2017-02-17";744
0.0000;0;0;"2017-02-17";260
0.0000;0;0;"2017-02-17";210
0.0000;0;0;"2017-02-17";-5
91.4886;0;0;"2017-02-17";-6
0.0000;0;0;"2017-02-17";-7
0.0000;0;0;"2017-02-16";8398
0.0000;0;0;"2017-02-16";8005
0.0000;0;0;"2017-02-16";7487
125.9643;0;0;"2017-02-16";6957
0.0000;0;0;"2017-02-16";6945
0.0000;0;0;"2017-02-16";6944
143.1000;0;0;"2017-02-16";6788
0.0000;0;0;"2017-02-16";6734
424.7971;0;0;"2017-02-16";6718
108.2143;0;0;"2017-02-16";6579
0.0000;0;0;"2017-02-16";6413
0.0000;0;0;"2017-02-16";6412
0.0000;0;0;"2017-02-16";6411
0.0000;0;0;"2017-02-16";6317
0.0000;0;0;"2017-02-16";6316
0.0000;0;0;"2017-02-16";6315
0.0000;0;0;"2017-02-16";6314
0.0000;0;0;"2017-02-16";6313
0.0000;0;0;"2017-02-16";6312
0.0000;0;0;"2017-02-16";6311
0.0000;0;0;"2017-02-16";6308
0.0000;0;0;"2017-02-16";5687
0.0000;0;0;"2017-02-16";4307
0.0000;0;0;"2017-02-16";3568
0.0000;0;0;"2017-02-16";3566
0.0000;0;0;"2017-02-16";3565
0.0000;0;0;"2017-02-16";2902
0.0000;0;0;"2017-02-16";2766
0.0000;0;0;"2017-02-16";2763
0.0000;0;0;"2017-02-16";2561
0.0000;0;0;"2017-02-16";2560
0.0000;0;0;"2017-02-16";2559
0.0000;0;0;"2017-02-16";2233
0.0000;0;0;"2017-02-16";2231
0.0000;0;0;"2017-02-16";752
0.0000;0;0;"2017-02-16";751
0.0000;0;0;"2017-02-16";744
0.0000;0;0;"2017-02-16";260
0.0000;0;0;"2017-02-16";210
0.0000;0;0;"2017-02-16";-5
91.4886;0;0;"2017-02-16";-6
0.0000;0;0;"2017-02-16";-7
0.0000;0;0;"2017-02-15";8398
0.0000;0;0;"2017-02-15";8005
0.0000;0;0;"2017-02-15";7487
125.9643;0;0;"2017-02-15";6957
0.0000;0;0;"2017-02-15";6945
0.0000;0;0;"2017-02-15";6944
143.1000;0;0;"2017-02-15";6788
0.0000;0;0;"2017-02-15";6734
424.7971;0;0;"2017-02-15";6718
108.2143;0;0;"2017-02-15";6579
0.0000;0;0;"2017-02-15";6413
0.0000;0;0;"2017-02-15";6412
0.0000;0;0;"2017-02-15";6411
0.0000;0;0;"2017-02-15";6317
0.0000;0;0;"2017-02-15";6316
0.0000;0;0;"2017-02-15";6315
0.0000;0;0;"2017-02-15";6314
0.0000;0;0;"2017-02-15";6313
0.0000;0;0;"2017-02-15";6312
0.0000;0;0;"2017-02-15";6311
0.0000;0;0;"2017-02-15";6308
0.0000;0;0;"2017-02-15";5687
0.0000;0;0;"2017-02-15";4307
0.0000;0;0;"2017-02-15";3568
0.0000;0;0;"2017-02-15";3566
0.0000;0;0;"2017-02-15";3565
0.0000;0;0;"2017-02-15";2902
0.0000;0;0;"2017-02-15";2766
0.0000;0;0;"2017-02-15";2763
0.0000;0;0;"2017-02-15";2561
0.0000;0;0;"2017-02-15";2560
0.0000;0;0;"2017-02-15";2559
0.0000;0;0;"2017-02-15";2233
0.0000;0;0;"2017-02-15";2231
0.0000;0;0;"2017-02-15";752
0.0000;0;0;"2017-02-15";751
0.0000;0;0;"2017-02-15";744
0.0000;0;0;"2017-02-15";260
0.0000;0;0;"2017-02-15";210
0.0000;0;0;"2017-02-15";-5
91.4886;0;0;"2017-02-15";-6
0.0000;0;0;"2017-02-15";-7
0.0000;0;0;"2017-02-14";8398
0.0000;0;0;"2017-02-14";8005
0.0000;0;0;"2017-02-14";7487
125.9643;0;0;"2017-02-14";6957
0.0000;0;0;"2017-02-14";6945
0.0000;0;0;"2017-02-14";6944
143.1000;0;0;"2017-02-14";6788
0.0000;0;0;"2017-02-14";6734
424.7971;0;0;"2017-02-14";6718
108.2143;0;0;"2017-02-14";6579
0.0000;0;0;"2017-02-14";6413
0.0000;0;0;"2017-02-14";6412
0.0000;0;0;"2017-02-14";6411
0.0000;0;0;"2017-02-14";6317
0.0000;0;0;"2017-02-14";6316
0.0000;0;0;"2017-02-14";6315
0.0000;0;0;"2017-02-14";6314
0.0000;0;0;"2017-02-14";6313
0.0000;0;0;"2017-02-14";6312
0.0000;0;0;"2017-02-14";6311
0.0000;0;0;"2017-02-14";6308
0.0000;0;0;"2017-02-14";5687
0.0000;0;0;"2017-02-14";4307
0.0000;0;0;"2017-02-14";3568
0.0000;0;0;"2017-02-14";3566
0.0000;0;0;"2017-02-14";3565
0.0000;0;0;"2017-02-14";2902
0.0000;0;0;"2017-02-14";2766
0.0000;0;0;"2017-02-14";2763
0.0000;0;0;"2017-02-14";2561
0.0000;0;0;"2017-02-14";2560
0.0000;0;0;"2017-02-14";2559
0.0000;0;0;"2017-02-14";2233
0.0000;0;0;"2017-02-14";2231
0.0000;0;0;"2017-02-14";752
0.0000;0;0;"2017-02-14";751
0.0000;0;0;"2017-02-14";744
0.0000;0;0;"2017-02-14";260
0.0000;0;0;"2017-02-14";210
0.0000;0;0;"2017-02-14";-5
91.4886;0;0;"2017-02-14";-6
0.0000;0;0;"2017-02-14";-7
0.0000;0;0;"2017-02-13";8398
0.0000;0;21;"2017-02-13";8005
0.0000;0;31;"2017-02-13";7487
125.9643;0;0;"2017-02-13";6957
0.0000;0;0;"2017-02-13";6945
0.0000;0;0;"2017-02-13";6944
143.1000;0;0;"2017-02-13";6788
0.0000;0;0;"2017-02-13";6734
424.7971;0;1;"2017-02-13";6718
